E_COORD;N_COORD;AS18_4
2620000;1150100;2
2620000;1151400;4
2620000;1151800;4
2620000;1151900;4
2620000;1152200;4
2620000;1152400;2
2620000;1152800;2
2620000;1153200;2
2620000;1153500;1
2620000;1154000;2
2620000;1154800;2
2620100;1166000;2
2620100;1166300;2
2620100;1167000;2
2620100;1167300;2
2620100;1167400;2
2620100;1167500;1
2620100;1167900;2
2620100;1168000;3
2620100;1168200;3
2620100;1168300;3
2620100;1168400;3
2620100;1169000;2
2620100;1169500;2
2620100;1169700;2
2620200;1153400;3
2620200;1153600;2
2620200;1154100;2
2620200;1154900;2
2620200;1155000;2
2620200;1155100;2
2620200;1155300;4
2620200;1155400;2
2620200;1155600;2
2620200;1156000;2
2620200;1157200;3
2620200;1157400;2
2620200;1157700;2
2620200;1157900;3
2620200;1158000;3
2620200;1158200;2
2620200;1158300;2
2620200;1159000;3
2620200;1159500;3
2620200;1159800;3
2620200;1160900;3
2620200;1161400;2
2620200;1161800;2
2620200;1162000;2
2620000;1155200;2
2620000;1155400;2
2620000;1156100;2
2620000;1156300;2
2620000;1156500;2
2620000;1156700;2
2620000;1156900;2
2620000;1157300;3
2620000;1158400;3
2620200;1162400;2
2620200;1162600;1
2620200;1162700;2
2620200;1162900;2
2620200;1163000;2
2620200;1163300;2
2620200;1163500;2
2620200;1163700;1
2620000;1158900;3
2620000;1159200;4
2620000;1159800;3
2620000;1160300;2
2620000;1161100;2
2620000;1162100;2
2620000;1162600;2
2620000;1162900;2
2620000;1163100;1
2620000;1163600;2
2620000;1163700;2
2620000;1164300;1
2620000;1164400;3
2620000;1165000;1
2620000;1165500;2
2620000;1165600;2
2620100;1150000;2
2620100;1150800;4
2620100;1151800;4
2620100;1152000;4
2620100;1152100;4
2620100;1152600;2
2620100;1152700;2
2620100;1153100;2
2620100;1154000;4
2620100;1154200;4
2620100;1154300;4
2620100;1155500;2
2620100;1155600;2
2620100;1156100;2
2620100;1156200;4
2620100;1156900;4
2620100;1158600;2
2620100;1158700;2
2620100;1159400;3
2620200;1150000;3
2620200;1150200;2
2620200;1150300;4
2620200;1150700;4
2620200;1150900;4
2620200;1151200;4
2620200;1151500;4
2620200;1151900;4
2620200;1152300;4
2620200;1152500;2
2620200;1174700;2
2620200;1174800;1
2620200;1175000;2
2620200;1175600;2
2620200;1175700;2
2620200;1175900;2
2620200;1176200;3
2620200;1176500;3
2620200;1177700;2
2620200;1177800;2
2620200;1178200;3
2620200;1178300;3
2620200;1178500;2
2620200;1178900;2
2620200;1179100;2
2620200;1179500;2
2620200;1179600;3
2620000;1176900;3
2620000;1177200;3
2620000;1178000;3
2620000;1179300;3
2620000;1179400;3
2620000;1179600;3
2620000;1179900;3
2620100;1170500;4
2620100;1170600;4
2620100;1170700;4
2620100;1170900;4
2620100;1171200;4
2620100;1171400;4
2620100;1171800;4
2620100;1171900;4
2620100;1172000;4
2620100;1172200;4
2620100;1172300;4
2620100;1172600;4
2620100;1172900;4
2620100;1173200;4
2620100;1173800;3
2620100;1174200;3
2620100;1174600;2
2620100;1175100;2
2620100;1175200;2
2620100;1175400;2
2620100;1176300;2
2620100;1176700;3
2620100;1176900;3
2620100;1177000;3
2620100;1177300;3
2620100;1177400;1
2620100;1178400;3
2620100;1179000;2
2620100;1179200;2
2620100;1179300;2
2620100;1179600;3
2620200;1163800;2
2620200;1163900;1
2620200;1164600;2
2620200;1164700;1
2620200;1167000;2
2620200;1168100;3
2620200;1168600;2
2620200;1168900;1
2620200;1169400;1
2620200;1169600;1
2620200;1169900;1
2620200;1170300;4
2620200;1170400;4
2620200;1171400;4
2620200;1171600;4
2620200;1171700;4
2620200;1173200;4
2620200;1173500;1
2620200;1173600;1
2620000;1165800;2
2620000;1166200;2
2620000;1166800;1
2620000;1167000;1
2620000;1167200;2
2620000;1167600;1
2620000;1168100;3
2620000;1168200;3
2620000;1168500;3
2620000;1168800;2
2620000;1169600;1
2620000;1169900;1
2620000;1170100;3
2620000;1170400;4
2620000;1170800;4
2620000;1171200;4
2620000;1171500;4
2620000;1173500;4
2620000;1173900;3
2620000;1174000;2
2620000;1174300;1
2620000;1174400;1
2620000;1174500;2
2620000;1175400;2
2620000;1175800;2
2620000;1176000;3
2620100;1159600;3
2620100;1159900;3
2620100;1160600;3
2620100;1161100;3
2620100;1161600;2
2620100;1161700;3
2620100;1162100;2
2620100;1162300;3
2620100;1162800;2
2620100;1163200;2
2620100;1163900;2
2620100;1164500;3
2620100;1164800;2
2624600;1163800;3
2624600;1164000;3
2624600;1164800;4
2624600;1165000;3
2624600;1165100;3
2624600;1165200;3
2624600;1165800;1
2624600;1166100;3
2624600;1166400;2
2624600;1166700;3
2624600;1167400;4
2624600;1167600;4
2624600;1167800;4
2624600;1168000;4
2624600;1168700;4
2624600;1168900;4
2624600;1169000;4
2624600;1169400;4
2624600;1171500;2
2624600;1171600;3
2624600;1171800;3
2624600;1172500;3
2624600;1173100;3
2624600;1173300;2
2624600;1173400;3
2624600;1173500;1
2624600;1173700;3
2624700;1154600;3
2624700;1154900;3
2622900;1168500;4
2622900;1168900;4
2622900;1169300;4
2622900;1169500;4
2622900;1169700;4
2622900;1170300;4
